순번,부스명,부스번호,"인포 이미지 다운로드 URL
(이미지 여러장 올려주셔도 됩니다!)",부스 소개,부스 캐릭터,트위터 링크(선택),픽시브 링크(선택),윗치폼 통판 URL 1,"윗치폼 통판 URL 2
(필요하신 경우)",,,반영 시간(관리용)
26,KOTOHANABI,E2,https://drive.google.com/drive/folders/1Jzv5CxPxjANpD9NJ-4cqO14NoG_zYeVR?usp=sharing,"RTTT, JAMD 위주 굿즈 / 우마무스메 아크릴키링 판매합니다","정글포켓, 나리타탑로드","https://x.com/koto_umamm , https://x.com/Sion_ara_uma",,,,6번 인포 이미지 업로드 실수로 재업로드 했습니다ㅜㅜ!!,반영했습니다.,2026-03-02 21:58
27,모르모트의 감자밭,E3,https://drive.google.com/file/d/1dEJ1J5WmkOTj-l82BdqSgO0EGa2V6rrB/view?usp=sharing,우마무스메 개그 4컷 만화 회지 판매합니다.,"아그네스 타키온, 맨하탄 카페, 스테이 골드, 골드 쉽, 오르페브르, 나카야마 페스타, 드림 저니, 페노메노, 젠틸돈나, 베르시나(비르시나)",https://x.com/pot8oG,https://www.pixiv.net/users/5314341,,,,,2026-03-03 1:03
28,01년산 정글 바게트,E4,https://x.com/2_TP_S/status/2029404291887448499?s=20,포케타키는 사랑을 하고 있다고,"정글 포켓, 아그네스 타키온",https://x.com/2_TP_S,,,,인포 이미지 수정했습니다. 링크의 이미지로 반영 부탁드려요!(3/5일 18시 55분 수정),,2026-03-04 2:20
29,황금산 트레이너실,E5,https://pbs.twimg.com/media/HCqu2S9bgAAGMMA?format=jpg&name=large,타키트레 논CP 시리즈물,아그네스 타키온,https://x.com/Ecryle,,,,,,2026-03-04 18:25
30,그러니까 내 말이,F1,https://x.com/iseo_cos/status/2028775509300257257/photo/1,"우마무스메 엽서, 스티커 판매합니다.",,,,,,,,2026-03-04 23:53
31,모두 모자를 쓰자,F2,"https://drive.google.com/file/d/1C2rFvqlaR0JL1rES75wgUZTni-1v_vZd/view?usp=drive_link
https://drive.google.com/file/d/19oilQ9ncTXIuHNhExw9Mgdw6VXuwk-vd/view?usp=sharing","타키온 야광아크릴,99키캡, 합쉬다 아크릴 스탠드 판매합니다~!","아그네스 타키온, 티엠 오페라 오, 메이쇼 도토, 나리타 탑 로드, 어드마이어 베가, 키세키, 아그네스 디지털, 메지로 도베르, 크로노 제네시스, 마치카네 탄호이저, 슈발 그랑, 마르슈 로렌","https://x.com/hipposoul  
https://x.com/onsil9",,,,"인포 이미지 2장 추가, 부스 소개 및 캐릭터가 조금 수정되었습니다!(3/5 23:50)",,2026-03-05 10:55
32,Secondary Dominant,F3,,"어레인지 앨범, 포토카드, 키링등의 굿즈 판매 예정","아그네스 타키온, 정글 포켓, 오구리 캡, 심볼리 루돌프, 시리우스 심볼리, 나리타 탑로드, 티엠 오페라 오, 메이쇼 도토, 빅투아르 피사, 어드마이어 그루브, 페노메노, 로즈 킹덤, 아몬드 아이, 라이스 샤워, 어드마이어 베가",https://x.com/loverscirno,,,,,,2026-03-05 15:20
33,딸기찰쌉떡 고루시,G1,https://drive.google.com/file/d/13203IgZ3edZsZGQ2JbmQ5bw927OGQHBN/view?usp=sharing,고고고고고루시,골드쉽,https://x.com/JAZZ_JACK_,,https://witchform.com/payform/?uuid=GLHJK0Y64R,,,,2026-03-05 20:07
34,우마무스메 잡화점,G2,https://drive.google.com/file/d/1vP8o33-dctTf7xvBwP3Xfd6xZLuCj8V3/view?usp=drive_link,,"비블로스, 아몬드아이",https://x.com/Seemyu_0430,https://www.pixiv.net/users/31376476,https://witchform.com/payform/?uuid=DUASDY1WHU,,,,2026-03-06 0:47
35,사이먼의 각인제작소,주최 각인,https://x.com/uma_twinkle_fes/status/2029965658008719620?s=20,주최측에서 직접 운영하는 레이저 각인 부스입니다.,,,,,,,,2026-03-06 4:28
,,,,,,,,,,,,2026-03-07 1:09
